KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,11,44,107,10,7,10,14,0,3,16,11,90,22,25,1,371
5-9,6,59,154,4,15,12,32,0,6,19,27,105,33,15,2,489
10-14,16,74,202,7,14,16,23,2,7,31,37,89,48,17,1,584
15-19,38,102,227,25,46,31,72,2,13,43,62,110,84,25,6,886
20-24,36,76,203,23,35,45,56,2,22,35,77,134,86,69,12,911
25-29,42,78,199,29,39,54,50,1,8,39,88,155,107,54,3,946
30-34,31,56,148,22,31,51,53,2,11,40,79,138,57,56,5,780
35-39,17,42,111,12,28,27,35,1,7,35,75,114,55,26,1,586
40-44,24,47,99,17,18,28,26,0,11,24,68,66,46,22,2,498
45-49,18,39,107,13,26,19,31,0,12,50,75,63,35,14,1,503
50-54,16,32,98,7,9,21,28,1,12,32,66,48,57,13,5,445
55-59,12,33,100,23,12,16,20,1,11,37,50,43,48,9,2,417
60-64,16,30,73,17,4,15,22,2,3,21,27,25,41,12,5,313
65-69,10,20,50,10,4,17,10,1,8,12,23,18,23,1,1,208
70-74,7,15,41,7,0,8,17,0,2,18,16,18,21,2,0,172
>75,6,13,37,5,8,8,13,1,4,18,19,17,26,5,2,182
Grand Total,306,760,1956,231,296,378,502,16,140,470,800,1233,789,365,49,8291
